spanish,czech,sourceTitle,languageCode
adornar,zdobit,JAREK español.pdf,es
adorno,ozdoba,JAREK español.pdf,es
adornado,ozdobený,JAREK español.pdf,es
sonámbulo,náměsíčný,JAREK español.pdf,es
reprochar,vyčítat,JAREK español.pdf,es
reproche,výčitka,JAREK español.pdf,es
edredón,prošívaná přikrývka,JAREK español.pdf,es
cobija,deka,JAREK español.pdf,es
frazada,přikrývka,JAREK español.pdf,es
sábana,prostěradlo,JAREK español.pdf,es
pasear,procházet se,JAREK español.pdf,es
paseo,procházka,JAREK español.pdf,es
paseador de perros,venčitel psů,JAREK español.pdf,es
arreglar,opravit / upravit,JAREK español.pdf,es
arreglo,oprava / uspořádání,JAREK español.pdf,es
arreglado,upravený,JAREK español.pdf,es
rostro,tvář,JAREK español.pdf,es
mejillas,tváře,JAREK español.pdf,es
cachetes,tvářičky,JAREK español.pdf,es
cachetón,baculatý v obličeji,JAREK español.pdf,es
pómulo,lícní kost,JAREK español.pdf,es
barbilla,brada,JAREK español.pdf,es
bigote,knír,JAREK español.pdf,es
barba,vousy,JAREK español.pdf,es
barba de candado,bradka,JAREK español.pdf,es
ceja,obočí,JAREK español.pdf,es
pestañas,řasy,JAREK español.pdf,es
profesar,vyznávat,JAREK español.pdf,es
ratón,myš,JAREK español.pdf,es
perro,pes,JAREK español.pdf,es
naranja,oranžový / pomeranč,JAREK español.pdf,es
rojo,červený,JAREK español.pdf,es
azul,modrý,JAREK español.pdf,es
morado,fialový,JAREK español.pdf,es
rosa,růžový,JAREK español.pdf,es
blanco,bílý,JAREK español.pdf,es
dorado,zlatý,JAREK español.pdf,es
café,hnědý / káva,JAREK español.pdf,es
marrón,hnědý,JAREK español.pdf,es
tronco,kmen,JAREK español.pdf,es
cotidiano,každodenní,JAREK español.pdf,es
vez,jednou / případ,JAREK español.pdf,es
asistir,účastnit se / asistovat,JAREK español.pdf,es
asistente,účastník / asistent,JAREK español.pdf,es
esperar,čekat / doufat,JAREK español.pdf,es
espera,čekání,JAREK español.pdf,es
espectador,divák,JAREK español.pdf,es
expectativa,očekávání,JAREK español.pdf,es
expectante,napjatě očekávající,JAREK español.pdf,es
cartel,plakát,JAREK español.pdf,es
cártel,kartel,JAREK español.pdf,es
latoso,otravný,JAREK español.pdf,es
nublado,zatažený / zakalený,JAREK español.pdf,es
adquirir,získat / osvojit si,JAREK español.pdf,es
pasajero,cestující / pomíjivý,JAREK español.pdf,es
sobrevivir,přežít,JAREK español.pdf,es
mejorar,zlepšit,JAREK español.pdf,es
retrasado,zpožděný,JAREK español.pdf,es
ola,vlna,JAREK español.pdf,es
levantarse,vstát,JAREK español.pdf,es
equilibrio,rovnováha,JAREK español.pdf,es
tiburón,žralok,JAREK español.pdf,es
lámpara,lampa,JAREK español.pdf,es
cascada,vodopád,JAREK español.pdf,es
bosque,les,JAREK español.pdf,es
motivo,důvod,JAREK español.pdf,es
columpio,houpačka,JAREK español.pdf,es
resbaladilla,skluzavka,JAREK español.pdf,es
trabajar,pracovat,JAREK español.pdf,es
comer,jíst,JAREK español.pdf,es
bailar,tančit,JAREK español.pdf,es
competir,soutěžit,JAREK español.pdf,es
dibujar,kreslit,JAREK español.pdf,es
escuchar,poslouchat,JAREK español.pdf,es
viajar,cestovat,JAREK español.pdf,es
volar,letět,JAREK español.pdf,es
compartir,sdílet,JAREK español.pdf,es
fingir,předstírat,JAREK español.pdf,es
barrer,zametat,JAREK español.pdf,es
componer,skládat / opravit,JAREK español.pdf,es
posponer,odložit,JAREK español.pdf,es
anteceder,předcházet,JAREK español.pdf,es
antecedente,precedens / předchozí okolnost,JAREK español.pdf,es
antecesor,předchůdce,JAREK español.pdf,es
desmayo,mdloba,JAREK español.pdf,es
desmayar,omdlít,JAREK español.pdf,es
desmayado,omdlelý,JAREK español.pdf,es
marchitar,uvadnout / zvadnout,JAREK español.pdf,es
marchito,zvadlý,JAREK español.pdf,es
cubrir,pokrýt,JAREK español.pdf,es
cubierta,kryt / obal,JAREK español.pdf,es
cubierto,zakrytý,JAREK español.pdf,es
sudar,potit se,JAREK español.pdf,es
sudor,pot,JAREK español.pdf,es
sudado,zpocený,JAREK español.pdf,es
regar,zalévat,JAREK español.pdf,es
regado,zalitý,JAREK español.pdf,es
descalzar,zout,JAREK español.pdf,es
calzado,obuv,JAREK español.pdf,es
descalzo,bosý,JAREK español.pdf,es
escondrijo,úkryt,JAREK español.pdf,es
escondite,skrýš,JAREK español.pdf,es
esconder,schovat,JAREK español.pdf,es
escondido,schovaný,JAREK español.pdf,es
pulir,leštit / vypilovat,JAREK español.pdf,es
pulido,vyleštěný / vybroušený,JAREK español.pdf,es
entusiasmo,nadšení,JAREK español.pdf,es
entusiasmar,nadchnout,JAREK español.pdf,es
entusiasmado,nadšený,JAREK español.pdf,es
presumir,chlubit se,JAREK español.pdf,es
presunción,domýšlivost,JAREK español.pdf,es
presumido,domýšlivý,JAREK español.pdf,es
amarillo,žlutý,JAREK español.pdf,es
montar,jezdit / sestavit,JAREK español.pdf,es
montado,namontovaný / sestavený,JAREK español.pdf,es
arraigar,zakořenit,JAREK español.pdf,es
arraigo,zakořenění,JAREK español.pdf,es
arraigado,zakořeněný,JAREK español.pdf,es
llamar,volat,JAREK español.pdf,es
llamada,telefonát,JAREK español.pdf,es
marcar,vytočit / označit,JAREK español.pdf,es
contestar,odpovědět,JAREK español.pdf,es
teléfono,telefon,JAREK español.pdf,es
vaso,sklenice,JAREK español.pdf,es
bazo,slezina,JAREK español.pdf,es
trago,doušek / drink,JAREK español.pdf,es
cohete,raketa,JAREK español.pdf,es
cuete,petarda / opilý,JAREK español.pdf,es
gracia,půvab / milost,JAREK español.pdf,es
gracioso,vtipný,JAREK español.pdf,es
cantar,zpívat,JAREK español.pdf,es
canción,píseň,JAREK español.pdf,es
llorar,plakat,JAREK español.pdf,es
llanto,pláč,JAREK español.pdf,es
huracán,hurikán,JAREK español.pdf,es
huracanado,hurikánový,JAREK español.pdf,es
leña,palivové dřevo,JAREK español.pdf,es
madera,dřevo,JAREK español.pdf,es
prueba,zkouška / výsledek testu,JAREK español.pdf,es
resultado,výsledek,JAREK español.pdf,es
habitación,pokoj,JAREK español.pdf,es
cocinar,vařit,JAREK español.pdf,es
cocina,kuchyně,JAREK español.pdf,es
bañarse,koupat se,JAREK español.pdf,es
baño,koupelna,JAREK español.pdf,es
dormir,spát,JAREK español.pdf,es
cuarto,pokoj,JAREK español.pdf,es
recámara,ložnice,JAREK español.pdf,es
pieza,místnost,JAREK español.pdf,es
temperatura,teplota,JAREK español.pdf,es
clima,klima / počasí,JAREK español.pdf,es
tiempo,čas / počasí,JAREK español.pdf,es
primero,první,JAREK español.pdf,es
segundo,druhý,JAREK español.pdf,es
tercero,třetí,JAREK español.pdf,es
quinto,pátý,JAREK español.pdf,es
sexto,šestý,JAREK español.pdf,es
séptimo,sedmý,JAREK español.pdf,es
octavo,osmý,JAREK español.pdf,es
noveno,devátý,JAREK español.pdf,es
décimo,desátý,JAREK español.pdf,es
metiche,všetečný / vměšující se,JAREK español.pdf,es
beber,pít,JAREK español.pdf,es
bebida,nápoj,JAREK español.pdf,es
pastel,dort,JAREK español.pdf,es
agua,voda,JAREK español.pdf,es
mezcal,mezcal,JAREK español.pdf,es
cumpleaños,narozeniny,JAREK español.pdf,es
cumplir,splnit / mít narozeniny,JAREK español.pdf,es
cumplido,splněný / zdvořilý,JAREK español.pdf,es
fiesta,oslava,JAREK español.pdf,es
festejar,slavit,JAREK español.pdf,es
festejado,oslavovaný,JAREK español.pdf,es
peinar,česat,JAREK español.pdf,es
despeinado,rozcuchaný,JAREK español.pdf,es
peinado,učesaný / účes,JAREK español.pdf,es
lampiño,bezvousý,JAREK español.pdf,es
mentón,brada,JAREK español.pdf,es
cálculo,výpočet,JAREK español.pdf,es
calcular,počítat,JAREK español.pdf,es
calculado,vypočítaný,JAREK español.pdf,es
curiosidad,zvědavost,JAREK español.pdf,es
curioso,zvědavý,JAREK español.pdf,es
