languageCode,targetWord,czech,sourceTitle
en,UNICORN,jednorožec,Kid's Box 1 – odhad základní slovní zásoby
en,STAR,hvězda,Kid's Box 1 – odhad základní slovní zásoby
en,FLOWER,květina,Kid's Box 1 – odhad základní slovní zásoby
en,TREE,strom,Kid's Box 1 – odhad základní slovní zásoby
en,HOUSE,dům,Kid's Box 1 – odhad základní slovní zásoby
en,DOG,pes,Kid's Box 1 – odhad základní slovní zásoby
en,CAT,kočka,Kid's Box 1 – odhad základní slovní zásoby
en,BIRD,pták,Kid's Box 1 – odhad základní slovní zásoby
en,FISH,ryba,Kid's Box 1 – odhad základní slovní zásoby
en,APPLE,jablko,Kid's Box 1 – odhad základní slovní zásoby
en,WATER,voda,Kid's Box 1 – odhad základní slovní zásoby
en,SUN,slunce,Kid's Box 1 – odhad základní slovní zásoby
en,MOON,měsíc,Kid's Box 1 – odhad základní slovní zásoby
en,BOOK,kniha,Kid's Box 1 – odhad základní slovní zásoby
en,BALL,míč,Kid's Box 1 – odhad základní slovní zásoby
en,PLAY,hrát si,Kid's Box 1 – odhad základní slovní zásoby
en,RUN,běžet,Kid's Box 1 – odhad základní slovní zásoby
en,JUMP,skákat,Kid's Box 1 – odhad základní slovní zásoby
en,SING,zpívat,Kid's Box 1 – odhad základní slovní zásoby
en,DANCE,tančit,Kid's Box 1 – odhad základní slovní zásoby
en,EAT,jíst,Kid's Box 1 – odhad základní slovní zásoby
en,DRINK,pít,Kid's Box 1 – odhad základní slovní zásoby
en,SLEEP,spát,Kid's Box 1 – odhad základní slovní zásoby
en,READ,číst,Kid's Box 1 – odhad základní slovní zásoby
en,WRITE,psát,Kid's Box 1 – odhad základní slovní zásoby
en,DRAW,kreslit,Kid's Box 1 – odhad základní slovní zásoby
en,LISTEN,poslouchat,Kid's Box 1 – odhad základní slovní zásoby
en,SAY,říct,Kid's Box 1 – odhad základní slovní zásoby
en,LOOK,dívat se,Kid's Box 1 – odhad základní slovní zásoby
en,HELP,pomáhat,Kid's Box 1 – odhad základní slovní zásoby
en,CLASSROOM,třída,Kid's Box 1 – odhad základní slovní zásoby
en,TEACHER,učitel/učitelka,Kid's Box 1 – odhad základní slovní zásoby
en,PUPIL,žák/žákyně,Kid's Box 1 – odhad základní slovní zásoby
en,SCHOOL,škola,Kid's Box 1 – odhad základní slovní zásoby
en,BAG,taška,Kid's Box 1 – odhad základní slovní zásoby
en,PENCIL,tužka,Kid's Box 1 – odhad základní slovní zásoby
en,PEN,pero,Kid's Box 1 – odhad základní slovní zásoby
en,RUBBER,guma,Kid's Box 1 – odhad základní slovní zásoby
en,ERASER,guma,Kid's Box 1 – odhad základní slovní zásoby
en,RULER,pravítko,Kid's Box 1 – odhad základní slovní zásoby
en,DESK,lavice,Kid's Box 1 – odhad základní slovní zásoby
en,CHAIR,židle,Kid's Box 1 – odhad základní slovní zásoby
en,TABLE,stůl,Kid's Box 1 – odhad základní slovní zásoby
en,BOARD,tabule,Kid's Box 1 – odhad základní slovní zásoby
en,DOOR,dveře,Kid's Box 1 – odhad základní slovní zásoby
en,WINDOW,okno,Kid's Box 1 – odhad základní slovní zásoby
en,BOOKCASE,knihovna,Kid's Box 1 – odhad základní slovní zásoby
en,COMPUTER,počítač,Kid's Box 1 – odhad základní slovní zásoby
en,NOTEBOOK,sešit,Kid's Box 1 – odhad základní slovní zásoby
en,CRAYON,pastelka,Kid's Box 1 – odhad základní slovní zásoby
en,PICTURE,obrázek,Kid's Box 1 – odhad základní slovní zásoby
en,PAGE,stránka,Kid's Box 1 – odhad základní slovní zásoby
en,STORY,příběh,Kid's Box 1 – odhad základní slovní zásoby
en,SONG,písnička,Kid's Box 1 – odhad základní slovní zásoby
en,RED,červená,Kid's Box 1 – odhad základní slovní zásoby
en,BLUE,modrá,Kid's Box 1 – odhad základní slovní zásoby
en,GREEN,zelená,Kid's Box 1 – odhad základní slovní zásoby
en,YELLOW,žlutá,Kid's Box 1 – odhad základní slovní zásoby
en,ORANGE,oranžová/pomeranč,Kid's Box 1 – odhad základní slovní zásoby
en,PINK,růžová,Kid's Box 1 – odhad základní slovní zásoby
en,PURPLE,fialová,Kid's Box 1 – odhad základní slovní zásoby
en,BLACK,černá,Kid's Box 1 – odhad základní slovní zásoby
en,WHITE,bílá,Kid's Box 1 – odhad základní slovní zásoby
en,BROWN,hnědá,Kid's Box 1 – odhad základní slovní zásoby
en,GREY,šedá,Kid's Box 1 – odhad základní slovní zásoby
en,ONE,jedna,Kid's Box 1 – odhad základní slovní zásoby
en,TWO,dvě,Kid's Box 1 – odhad základní slovní zásoby
en,THREE,tři,Kid's Box 1 – odhad základní slovní zásoby
en,FOUR,čtyři,Kid's Box 1 – odhad základní slovní zásoby
en,FIVE,pět,Kid's Box 1 – odhad základní slovní zásoby
en,SIX,šest,Kid's Box 1 – odhad základní slovní zásoby
en,SEVEN,sedm,Kid's Box 1 – odhad základní slovní zásoby
en,EIGHT,osm,Kid's Box 1 – odhad základní slovní zásoby
en,NINE,devět,Kid's Box 1 – odhad základní slovní zásoby
en,TEN,deset,Kid's Box 1 – odhad základní slovní zásoby
en,ELEVEN,jedenáct,Kid's Box 1 – odhad základní slovní zásoby
en,TWELVE,dvanáct,Kid's Box 1 – odhad základní slovní zásoby
en,THIRTEEN,třináct,Kid's Box 1 – odhad základní slovní zásoby
en,FOURTEEN,čtrnáct,Kid's Box 1 – odhad základní slovní zásoby
en,FIFTEEN,patnáct,Kid's Box 1 – odhad základní slovní zásoby
en,SIXTEEN,šestnáct,Kid's Box 1 – odhad základní slovní zásoby
en,SEVENTEEN,sedmnáct,Kid's Box 1 – odhad základní slovní zásoby
en,EIGHTEEN,osmnáct,Kid's Box 1 – odhad základní slovní zásoby
en,NINETEEN,devatenáct,Kid's Box 1 – odhad základní slovní zásoby
en,TWENTY,dvacet,Kid's Box 1 – odhad základní slovní zásoby
en,FAMILY,rodina,Kid's Box 1 – odhad základní slovní zásoby
en,MUM,maminka,Kid's Box 1 – odhad základní slovní zásoby
en,DAD,tatínek,Kid's Box 1 – odhad základní slovní zásoby
en,MOTHER,matka,Kid's Box 1 – odhad základní slovní zásoby
en,FATHER,otec,Kid's Box 1 – odhad základní slovní zásoby
en,SISTER,sestra,Kid's Box 1 – odhad základní slovní zásoby
en,BROTHER,bratr,Kid's Box 1 – odhad základní slovní zásoby
en,GRANDMA,babička,Kid's Box 1 – odhad základní slovní zásoby
en,GRANDPA,dědeček,Kid's Box 1 – odhad základní slovní zásoby
en,BABY,miminko,Kid's Box 1 – odhad základní slovní zásoby
en,BOY,chlapec,Kid's Box 1 – odhad základní slovní zásoby
en,GIRL,dívka,Kid's Box 1 – odhad základní slovní zásoby
en,FRIEND,kamarád/kamarádka,Kid's Box 1 – odhad základní slovní zásoby
en,MAN,muž,Kid's Box 1 – odhad základní slovní zásoby
en,WOMAN,žena,Kid's Box 1 – odhad základní slovní zásoby
en,CHILD,dítě,Kid's Box 1 – odhad základní slovní zásoby
en,CHILDREN,děti,Kid's Box 1 – odhad základní slovní zásoby
en,HEAD,hlava,Kid's Box 1 – odhad základní slovní zásoby
en,HAIR,vlasy,Kid's Box 1 – odhad základní slovní zásoby
en,FACE,obličej,Kid's Box 1 – odhad základní slovní zásoby
en,EYE,oko,Kid's Box 1 – odhad základní slovní zásoby
en,EYES,oči,Kid's Box 1 – odhad základní slovní zásoby
en,EAR,ucho,Kid's Box 1 – odhad základní slovní zásoby
en,EARS,uši,Kid's Box 1 – odhad základní slovní zásoby
en,NOSE,nos,Kid's Box 1 – odhad základní slovní zásoby
en,MOUTH,ústa,Kid's Box 1 – odhad základní slovní zásoby
en,TOOTH,zub,Kid's Box 1 – odhad základní slovní zásoby
en,TEETH,zuby,Kid's Box 1 – odhad základní slovní zásoby
en,HAND,ruka,Kid's Box 1 – odhad základní slovní zásoby
en,HANDS,ruce,Kid's Box 1 – odhad základní slovní zásoby
en,ARM,paže,Kid's Box 1 – odhad základní slovní zásoby
en,LEG,noha,Kid's Box 1 – odhad základní slovní zásoby
en,FOOT,chodidlo/noha,Kid's Box 1 – odhad základní slovní zásoby
en,FEET,chodidla/nohy,Kid's Box 1 – odhad základní slovní zásoby
en,BODY,tělo,Kid's Box 1 – odhad základní slovní zásoby
en,TOY,hračka,Kid's Box 1 – odhad základní slovní zásoby
en,DOLL,panenka,Kid's Box 1 – odhad základní slovní zásoby
en,CAR,auto,Kid's Box 1 – odhad základní slovní zásoby
en,TRAIN,vlak,Kid's Box 1 – odhad základní slovní zásoby
en,PLANE,letadlo,Kid's Box 1 – odhad základní slovní zásoby
en,BIKE,kolo,Kid's Box 1 – odhad základní slovní zásoby
en,KITE,drak,Kid's Box 1 – odhad základní slovní zásoby
en,ROBOT,robot,Kid's Box 1 – odhad základní slovní zásoby
en,MONSTER,příšera,Kid's Box 1 – odhad základní slovní zásoby
en,TEDDY,plyšový medvídek,Kid's Box 1 – odhad základní slovní zásoby
en,GAME,hra,Kid's Box 1 – odhad základní slovní zásoby
en,PUZZLE,skládačka,Kid's Box 1 – odhad základní slovní zásoby
en,BALLOON,balónek,Kid's Box 1 – odhad základní slovní zásoby
en,BOAT,loď,Kid's Box 1 – odhad základní slovní zásoby
en,ANIMAL,zvíře,Kid's Box 1 – odhad základní slovní zásoby
en,HORSE,kůň,Kid's Box 1 – odhad základní slovní zásoby
en,COW,kráva,Kid's Box 1 – odhad základní slovní zásoby
en,SHEEP,ovce,Kid's Box 1 – odhad základní slovní zásoby
en,GOAT,koza,Kid's Box 1 – odhad základní slovní zásoby
en,PIG,prase,Kid's Box 1 – odhad základní slovní zásoby
en,DUCK,kachna,Kid's Box 1 – odhad základní slovní zásoby
